                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99617,                 1.0709,                 1.2959,                0.77031,                 0.5267,                0.68269,                0.47961,                 1.1476,                 1.5899,                 1.8175,             0.00096215,             0.00096215,             0.00096215
                     36,                0.99437,                 1.0748,                 1.3218,                0.72549,                0.63393,                0.68712,                0.50979,                0.99803,                 1.4184,                 1.6958,               0.000948,               0.000948,               0.000948
                     37,                0.95361,                0.97806,                 1.2827,                0.83873,                0.71528,                 0.7263,                0.55825,                0.95678,                 1.3376,                 1.6035,             0.00093385,             0.00093385,             0.00093385
                     38,                0.92728,                 1.0107,                 1.2629,                0.75921,                0.69059,                0.72626,                0.56171,                 1.0431,                 1.4396,                 1.6805,              0.0009197,              0.0009197,              0.0009197
                     39,                0.96486,                 1.0541,                 1.3039,                0.55085,                0.61245,                0.62611,                 0.4728,                 1.1223,                 1.6048,                 1.6764,             0.00090556,             0.00090556,             0.00090556
                     40,                0.98749,                 1.0698,                 1.3195,                0.71958,                0.64227,                0.68371,                0.51376,                  1.101,                 1.4177,                 1.8102,             0.00089141,             0.00089141,             0.00089141
                     41,                0.87778,                0.94119,                 1.2401,                0.72834,                0.77778,                0.76306,                0.58498,                 1.0895,                 1.4451,                 1.6718,             0.00087726,             0.00087726,             0.00087726
                     42,                0.86869,                0.96744,                   1.26,                0.69635,                0.75735,                0.72988,                0.56674,                 1.0331,                 1.5574,                 1.5478,             0.00086312,             0.00086312,             0.00086312
                     43,                0.88317,                0.90557,                 1.2327,                0.73707,                0.42563,                0.52049,                0.38051,                 1.1078,                 1.7394,                 1.6615,             0.00084897,             0.00084897,             0.00084897
                     44,                0.92715,                 1.0044,                 1.3046,                0.74407,                0.74306,                0.75972,                0.59962,                0.96729,                 1.2852,                  1.574,             0.00083482,             0.00083482,             0.00083482
                     45,                0.86669,                0.89305,                 1.2407,                0.74726,                0.82044,                0.82295,                0.61446,                0.98236,                 1.1926,                 1.6201,             0.00082067,             0.00082067,             0.00082067
                     46,                0.89986,                0.95833,                 1.2575,                0.87334,                0.58596,                 0.7602,                0.58767,                 0.9976,                 1.3012,                   1.59,             0.00080653,             0.00080653,             0.00080653
                     47,                0.89851,                0.91973,                 1.2366,                0.85354,                0.70833,                 0.7397,                0.57738,                0.94733,                 1.4119,                 1.4934,             0.00079238,             0.00079238,             0.00079238
                     48,                0.86334,                0.93855,                 1.2403,                0.78911,                 0.6875,                0.72484,                0.58437,                 1.0395,                 1.4541,                  1.655,             0.00077823,             0.00077823,             0.00077823
                     49,                0.89258,                0.90405,                  1.217,                0.82242,                0.76683,                0.74124,                0.57875,                 1.0037,                 1.3639,                 1.5948,             0.00076409,             0.00076409,             0.00076409
                     50,                0.84493,                0.85715,                 1.2054,                0.80176,                0.78295,                0.76858,                0.59619,                 0.9777,                 1.2186,                 1.5316,             0.00074994,             0.00074994,             0.00074994
                     51,                0.80858,                0.80278,                 1.1849,                0.73349,                0.82306,                0.82609,                0.62052,                0.91498,                 1.1273,                 1.5332,             0.00073579,             0.00073579,             0.00073579
